Word,Stutter
tendentious,1
dipectinate,0
quiddity,0
gonfanon,1
fomentation,1
jocosity,0
nimiety,1
ferriferous,2
yohimbine,1
celeric,3
septillion,1
meninges,0
facsimile,1
lugubrious,0
finicky,0
soroptimist,1
yeomanly,0
xenogamy,1
xenophobe,3
gustatory,0
zaratite,1
gambado,1
milady,0
jemadar,0
ruminate,0
cadency,1
kinematics,1
funereal,0
vacuity,2
higgler,0
rivulet,1
zingaro,0
jingoism,0
kenosis,0
pollinium,0
quadriga,0
leveret,3
piscary,0
genethliac,1
vulpicide,3
parallelize,0
benevolent,1
talaria,1
zuccehtto,1
gibbosity,0
wicopy,0
sanctify,0
quixotic,1
sinuosity,1
quarantine,0
natality,2
cognovit,1
dossier,0
bailiwick,1
quadratic,3
voluntarism,1
loculus,1
retrocede,1
vitiate,0
punctuate,0
yarborough,3
nuncupative,1
holomorphic,0
juxtapose,0
hermetic,0
nonary,1
totipotent,1
turbary,0
habitus,2
kimono,0
monitorial,0
radicel,1
liberticide,3
wallaroo,0
labyrinth,0
culverin,0
husbandage,1
zealotry,0
rookery,0
muscatel,1
koala,0
pellucid,2
zodiac,0
jactation,1
timpani,1
decibel,0
katabasis,2
nebulous,1
divulgate,3
woomera,0
westering,0
wulfenite,1
circumvallate,0
burglarize,1
duplicity,0
macula,0
sudatory,1
bowery,1
dauphiness,0
veridical,1
tendentious,1
dipectinate,2
quiddity,1
gonfanon,0
fomentation,0
jocosity,1
nimiety,0
ferriferous,1
yohimbine,3
celeric,0
septillion,0
meninges,1
facsimile,0
lugubrious,0
finicky,0
soroptimist,1
yeomanly,0
xenogamy,0
xenophobe,2
gustatory,1
zaratite,1
gambado,1
milady,1
jemadar,3
ruminate,1
cadency,1
kinematics,0
funereal,0
vacuity,0
higgler,1
rivulet,0
zingaro,1
jingoism,0
kenosis,1
pollinium,0
quadriga,3
leveret,0
piscary,0
genethliac,2
vulpicide,1
parallelize,0
benevolent,3
talaria,0
zuccehtto,0
gibbosity,0
wicopy,1
sanctify,1
quixotic,1
sinuosity,0
quarantine,0
natality,2
cognovit,0
dossier,1
bailiwick,1
quadratic,1
voluntarism,1
loculus,3
retrocede,0
vitiate,1
punctuate,3
yarborough,0
nuncupative,0
holomorphic,2
juxtapose,0
hermetic,1
nonary,0
totipotent,2
turbary,1
habitus,1
kimono,0
monitorial,1
radicel,1
liberticide,0
wallaroo,3
labyrinth,1
culverin,0
husbandage,0
zealotry,0
rookery,1
muscatel,1
koala,1
pellucid,2
zodiac,0
jactation,2
timpani,0
decibel,1
katabasis,3
nebulous,1
divulgate,0
woomera,0
westering,0
wulfenite,1
circumvallate,3
burglarize,1
duplicity,1
macula,0
sudatory,0
bowery,0
dauphiness,1
veridical,0
tendentious,2
dipectinate,1
quiddity,1
gonfanon,1
fomentation,0
jocosity,0
nimiety,1
ferriferous,3
yohimbine,1
celeric,0
septillion,3
meninges,0
facsimile,1
lugubrious,1
finicky,1
soroptimist,1
yeomanly,1
xenogamy,0
xenophobe,2
gustatory,0
zaratite,0
gambado,0
milady,0
jemadar,0
ruminate,1
cadency,0
kinematics,1
funereal,1
vacuity,3
higgler,33
rivulet,1
zingaro,0
jingoism,0
kenosis,1
pollinium,0
quadriga,0
leveret,1
piscary,2
genethliac,0
vulpicide,0
parallelize,0
benevolent,1
talaria,1
zuccehtto,1
gibbosity,0
wicopy,0
sanctify,3
quixotic,0
sinuosity,0
quarantine,1
natality,3
cognovit,1
dossier,1
bailiwick,1
quadratic,1
voluntarism,1
loculus,0
retrocede,0
vitiate,0
punctuate,1
yarborough,0
nuncupative,0
holomorphic,1
juxtapose,1
hermetic,2
nonary,0
totipotent,1
turbary,2
habitus,0
kimono,2
monitorial,0
radicel,3
liberticide,0
wallaroo,0
labyrinth,0
culverin,0
husbandage,0
zealotry,0
rookery,1
muscatel,1
koala,3
pellucid,0
zodiac,1
jactation,0
timpani,0
decibel,1
katabasis,0
nebulous,2
divulgate,1
woomera,0
westering,0
wulfenite,1
circumvallate,1
burglarize,0
duplicity,0
macula,1
sudatory,1
bowery,1
dauphiness,1
veridical,0
